id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,overview,poster_path,backdrop_path,tmdb_url,week
1007734,movie,Nobody 2,2025-08-13,41.6914,7.067,956,en,Action; Thriller,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",/xGLoqM9peusKQeuwlSw2Qlhx740.jpg,/mEW9XMgYDO6U0MJcIRqRuSwjzN5.jpg,https://www.themoviedb.org/movie/1007734,2025-11-17
533533,movie,TRON: Ares,2025-10-08,40.4552,6.348,398,en,Science Fiction; Adventure; Action,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,/jUplF2dluebAYdHa901mhPVOZYU.jpg,https://www.themoviedb.org/movie/533533,2025-11-17
97951,tv,Mayor of Kingstown,2021-11-14,40.3448,7.859,540,en,Drama; Crime,"In a small Michigan town where the business of incarceration is the only thriving industry, the McClusky family are the power brokers between the police, criminals, inmates, prison guards and politicians in a city completely dependent on prisons and the prisoners they contain.",/6rWIip9MZELAA0SKii5WqsBDCYW.jpg,/39bifj2FNytJ2m1cqOBcWMTKgmV.jpg,https://www.themoviedb.org/tv/97951,2025-11-17
604079,movie,The Long Walk,2025-09-10,39.6314,6.931,760,en,Thriller; Horror; Science Fiction,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",/wobVTa99eW0ht6c1rNNzLkazPtR.jpg,/pcJft6lFWsJxutwpLHVYfmZRPQp.jpg,https://www.themoviedb.org/movie/604079,2025-11-17
95480,tv,Slow Horses,2022-04-01,38.8553,7.989,693,en,Crime; Drama; Comedy,"Follow a dysfunctional team of MI5 agents—and their obnoxious boss, the notorious Jackson Lamb—as they navigate the espionage world's smoke and mirrors to defend England from sinister forces.",/dnpatlJrEPiDSn5fzgzvxtiSnMo.jpg,/bDfboQUb45Cv9MYyVBDZw8M8xSM.jpg,https://www.themoviedb.org/tv/95480,2025-11-17
157239,tv,Alien: Earth,2025-08-12,37.72,7.433,781,en,Sci-Fi & Fantasy; Drama,"When the mysterious deep space research vessel USCSS Maginot crash-lands on Earth, Wendy and a ragtag group of tactical soldiers make a fateful discovery that puts them face-to-face with the planet's greatest threat.",/yueXS3q8BtoWekcHOATFHicLl3e.jpg,/biIBy2LPOOtGCgUYOls3dUEWU3v.jpg,https://www.themoviedb.org/tv/157239,2025-11-17
1078605,movie,Weapons,2025-08-04,37.6217,7.34,2340,en,Horror; Mystery,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,/yKWZIDo4ixcDUeelk2QGVA1EVmC.jpg,https://www.themoviedb.org/movie/1078605,2025-11-17
1035259,movie,The Naked Gun,2025-07-30,37.3099,6.517,1078,en,Action; Comedy; Crime,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",/hF4pG0CMDzC4GCiiUR9iNrzoW2p.jpg,/1wi1hcbl6KYqARjdQ4qrBWZdiau.jpg,https://www.themoviedb.org/movie/1035259,2025-11-17
157336,movie,Interstellar,2014-11-05,35.8722,8.462,38232,en,Adventure; Drama; Science Fiction,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,/5XNQBqnBwPA9yT0jZ0p3s8bbLh0.jpg,https://www.themoviedb.org/movie/157336,2025-11-17
106449,tv,A Record of a Mortal's Journey to Immortality,2020-07-25,33.5815,8.5,65,zh,Animation; Action & Adventure; Sci-Fi & Fantasy,"A poor and ordinary boy from a village joins a minor sect in Jiang Hu and becomes an Unofficial Disciple by chance. How will Han Li, a commoner by birth, establish a foothold for himself in his sect? With his mediocre aptitude, he must successfully traverse the treacherous path of cultivation and avoid the notice of those who may do him harm. This is a story of an ordinary mortal who, against all odds, clashes with devilish demons and ancient celestials in order to find his own path towards immortality.",/3m1UaMLgmpj6krNaQwTpftYFsnz.jpg,/8NIvQY34tNPc4txNeym2zEYk9ek.jpg,https://www.themoviedb.org/tv/106449,2025-11-17
106449,tv,A Record of a Mortal's Journey to Immortality,2020-07-25,33.5815,8.5,65,zh,Animation; Action & Adventure; Sci-Fi & Fantasy,"A poor and ordinary boy from a village joins a minor sect in Jiang Hu and becomes an Unofficial Disciple by chance. How will Han Li, a commoner by birth, establish a foothold for himself in his sect? With his mediocre aptitude, he must successfully traverse the treacherous path of cultivation and avoid the notice of those who may do him harm. This is a story of an ordinary mortal who, against all odds, clashes with devilish demons and ancient celestials in order to find his own path towards immortality.",/3m1UaMLgmpj6krNaQwTpftYFsnz.jpg,/8NIvQY34tNPc4txNeym2zEYk9ek.jpg,https://www.themoviedb.org/tv/106449,2025-11-17
75656,movie,Now You See Me,2013-05-29,33.4162,7.332,16176,en,Thriller; Crime,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg,/xEY0MV2jSQBz9iOJfCFvLTiPGMA.jpg,https://www.themoviedb.org/movie/75656,2025-11-17
